State,County,Violent,Murder,"Forcible rape",Robbery,"Aggravated assault","Property crime",Burglary,"Larceny-theft","Motor vehicle theft",Arson
GEORGIA,Miller,5,0,0,0,5,34,9,19,6,1
GEORGIA,Mitchell,34,0,2,2,30,204,63,132,9,0
GEORGIA,Pierce,32,0,1,0,31,236,97,128,11,0
GEORGIA,Polk,0,0,0,0,0,0,0,0,0,0
GEORGIA,Polk County Police Department,52,1,6,5,40,671,277,340,54,5
GEORGIA,Putnam,71,0,2,3,66,346,127,213,6,1
GEORGIA,Rabun,9,1,0,0,8,235,71,154,10,0
GEORGIA,Schley,2,0,0,0,2,24,8,15,1,0
GEORGIA,Screven,14,1,1,0,12,225,74,132,19,0
GEORGIA,Seminole,22,1,1,2,18,92,26,65,1,0
GEORGIA,Stephens,32,3,3,3,23,413,122,275,16,0
GEORGIA,Stewart,1,0,0,1,0,20,16,4,0,0
GEORGIA,Sumter,15,0,4,2,9,341,111,218,12,0
GEORGIA,Talbot,5,1,0,3,1,87,22,61,4,0
GEORGIA,Taliaferro,3,0,0,0,3,58,24,28,6,0
GEORGIA,Taylor,8,0,0,1,7,91,44,45,2,1
GEORGIA,Thomas,46,1,3,9,33,513,156,310,47,6
GEORGIA,Tift,97,5,9,12,71,703,152,517,34,8
GEORGIA,Toombs,21,1,5,1,14,178,71,91,16,1
GEORGIA,Towns,13,0,0,0,13,124,24,97,3,0
GEORGIA,Treutlen,4,0,0,0,4,76,26,50,0,0
GEORGIA,Troup,30,2,4,4,20,712,172,503,37,1
GEORGIA,Turner,9,0,1,0,8,96,27,65,4,2
GEORGIA,Union,18,0,0,1,17,275,93,169,13,5
GEORGIA,Upson,20,0,4,7,9,430,163,250,17,
GEORGIA,Ware,85,1,4,12,68,731,194,499,38,0
GEORGIA,Warren,18,0,0,0,18,36,12,21,3,0
GEORGIA,Washington,24,1,0,2,21,172,52,117,3,2
GEORGIA,Wayne,129,5,6,7,111,840,207,618,15,0
GEORGIA,Webster,1,0,0,0,1,42,23,16,3,0
GEORGIA,White,26,1,5,1,19,411,177,214,20,0
GEORGIA,Wilcox,17,0,3,1,13,97,45,46,6,0
GEORGIA,Wilkes,5,1,1,0,3,20,6,14,0,
GEORGIA,Wilkinson,8,0,0,0,8,86,41,39,6,0
HAWAII,Maui,411,5,44,115,247,6003,1067,4419,517,73
IDAHO,Ada,128,0,17,6,105,1036,248,758,30,10
IDAHO,Bannock,15,2,2,0,11,85,27,56,2,0
IDAHO,Boise,15,0,2,2,11,154,32,109,13,1
IDAHO,Bonneville,61,0,15,2,44,688,147,514,27,2
IDAHO,Butte,5,0,0,0,5,1,0,1,0,0
IDAHO,Canyon,92,1,14,5,72,583,247,294,42,5
IDAHO,Franklin,2,0,1,0,1,26,1,25,0,0
IDAHO,Gem,8,0,0,0,8,34,18,14,2,0
IDAHO,Jefferson,13,0,2,0,11,81,19,53,9,0
IDAHO,Kootenai,88,1,18,3,66,1409,472,871,66,13
IDAHO,Nez Perce,7,0,2,0,5,113,32,77,4,1
IDAHO,Owyhee,13,1,4,0,8,93,26,58,9,2
IDAHO,Adams,1,0,0,0,1,16,3,13,0,0
IDAHO,Bear Lake,2,0,0,0,2,28,6,21,1,1
IDAHO,Benewah,12,0,0,0,12,55,28,22,5,2
IDAHO,Bingham,38,0,8,1,29,283,82,182,19,3
IDAHO,Blaine,8,0,0,0,8,33,14,14,5,1
IDAHO,Bonner,30,1,2,1,26,451,183,224,44,0
IDAHO,Boundary,7,0,0,0,7,106,67,32,7,0
IDAHO,Camas,1,0,0,0,1,9,3,6,0,0
IDAHO,Caribou,2,0,1,0,1,23,9,13,1,0
IDAHO,Cassia,34,2,9,1,22,354,70,268,16,0
IDAHO,Clark,0,0,0,0,0,8,3,5,0,0
IDAHO,Clearwater,7,0,0,0,7,99,12,86,1,0
IDAHO,Custer,1,0,1,0,0,14,2,12,0,0
IDAHO,Elmore,10,0,0,0,10,92,22,66,4,1
IDAHO,Fremont,7,0,2,0,5,79,20,56,3,0
IDAHO,Gooding,13,0,4,0,9,55,24,27,4,1
IDAHO,Idaho,21,0,0,0,21,85,29,51,5,1
IDAHO,Jerome,19,0,6,1,12,145,71,65,9,1
IDAHO,Latah,25,0,6,0,19,170,72,90,8,1
IDAHO,Lemhi,4,0,1,0,3,19,5,14,0,0
IDAHO,Lewis,0,0,0,0,0,21,8,10,3,0
IDAHO,Lincoln,5,0,1,0,4,8,5,2,1,0
IDAHO,Madison,21,1,7,0,13,91,24,66,1,0
IDAHO,Minidoka,14,0,5,1,8,198,59,118,21,2
IDAHO,Oneida,1,0,0,0,1,26,6,19,1,0
IDAHO,Payette,17,0,1,0,16,127,45,74,8,0
IDAHO,Power,4,0,0,0,4,41,6,35,0,0
IDAHO,Shoshone,23,0,1,0,22,150,50,86,14,0
IDAHO,Teton,6,0,2,0,4,52,22,29,1,0
IDAHO,Twin Falls,33,4,2,1,26,183,87,82,14,5
IDAHO,Valley,9,0,3,0,6,72,21,49,2,1
IDAHO,Washington,2,0,0,0,2,29,14,13,2,0
ILLINOIS,Alexander,19,0,1,1,17,64,12,46,6,1
ILLINOIS,Bond,3,0,0,1,2,110,34,71,5,0
ILLINOIS,Champaign,100,1,27,5,67,715,238,460,17,9
ILLINOIS,Clinton,3,0,1,0,2,106,14,88,4,0
ILLINOIS,Cook,267,1,27,40,199,1166,384,684,98,16
ILLINOIS,De Kalb,24,0,2,1,21,255,40,208,7,0
ILLINOIS,De Witt,10,0,1,1,8,55,13,42,0,1
ILLINOIS,Du Page,73,0,3,16,54,1120,288,773,59,1
ILLINOIS,Ford,35,0,9,1,25,93,35,57,1,0
ILLINOIS,Grundy,4,0,3,0,1,194,59,130,5,7
ILLINOIS,Henry,4,0,0,0,4,115,27,87,1,1
ILLINOIS,Jackson,28,1,3,0,24,312,97,196,19,1
ILLINOIS,Kane,58,0,15,2,41,526,189,319,18,15
ILLINOIS,Kankakee,47,1,8,4,34,474,169,278,27,12
ILLINOIS,Kendall,58,0,16,0,42,295,86,202,7,1
ILLINOIS,Lake,68,2,9,10,47,1760,451,1236,73,4
ILLINOIS,Macon,54,0,13,2,39,382,122,250,10,1
ILLINOIS,Macoupin,4,0,0,0,4,228,72,151,5,1
ILLINOIS,Madison,58,0,5,9,44,718,256,437,25,4
ILLINOIS,Marshall,10,0,0,1,9,54,34,18,2,2
ILLINOIS,McHenry,85,0,28,5,52,613,190,422,1,12
ILLINOIS,McLean,36,0,6,1,29,192,73,104,15,2
ILLINOIS,Mercer,29,1,4,3,21,141,59,79,3,1
ILLINOIS,Monroe,5,0,3,0,2,92,26,64,2,0
ILLINOIS,Peoria,125,3,20,11,91,966,263,670,33,6
ILLINOIS,Piatt,18,0,7,1,10,109,48,57,4,2
ILLINOIS,Rock Island,27,0,1,3,23,336,99,236,1,1
ILLINOIS,Sangamon,173,2,27,23,121,867,286,543,38,8
ILLINOIS,Stark,5,0,0,0,5,69,24,41,4,1
ILLINOIS,St. Clair,90,1,30,20,39,831,341,429,61,16
ILLINOIS,Tazewell,6,0,0,2,4,250,71,169,10,1
ILLINOIS,Vermilion,49,1,10,0,38,600,178,390,32,2
ILLINOIS,Will,154,6,24,26,98,1426,521,827,78,18
ILLINOIS,Williamson,18,0,6,3,9,334,103,205,26,1
ILLINOIS,Winnebago,139,1,35,19,84,1026,340,625,61,7
ILLINOIS,Woodford,11,0,3,0,8,198,50,140,8,1
ILLINOIS,Adams,19,0,4,0,15,262,63,195,4,1
ILLINOIS,Brown,10,0,0,0,10,16,8,7,1,1
ILLINOIS,Bureau,23,0,7,1,15,211,77,126,8,5
ILLINOIS,Carroll,0,0,0,0,0,87,20,67,0,0
ILLINOIS,Cass,7,0,1,0,6,7,1,6,0,0
ILLINOIS,Clark,5,0,2,0,3,52,25,27,0,2
ILLINOIS,Clay,1,0,1,0,0,83,32,49,2,1
ILLINOIS,Coles,12,0,1,0,11,83,14,65,4,1
ILLINOIS,Cumberland,3,0,0,0,3,33,13,19,1,1
ILLINOIS,Douglas,14,0,1,0,13,72,39,31,2,1
ILLINOIS,Edgar,22,0,0,0,22,93,52,39,2,1
ILLINOIS,Edwards,10,0,0,0,10,41,14,26,1,0
ILLINOIS,Effingham,8,0,0,0,8,154,27,120,7,1
ILLINOIS,Fayette,4,0,4,0,0,119,34,83,2,1
ILLINOIS,Franklin,8,0,0,0,8,302,96,185,21,1
ILLINOIS,Fulton,8,0,2,0,6,189,58,125,6,0
ILLINOIS,Greene,2,0,0,0,2,46,19,26,1,0
ILLINOIS,Henderson,32,0,0,1,31,141,56,85,0,1
ILLINOIS,Iroquois,12,1,4,0,7,203,61,134,8,1
ILLINOIS,Jefferson,55,0,1,1,53,292,108,171,13,7
ILLINOIS,Jo Daviess,7,0,7,0,0,112,37,71,4,0
ILLINOIS,Johnson,26,0,0,1,25,91,14,72,5,0
ILLINOIS,Knox,21,0,2,0,19,207,79,124,4,0
ILLINOIS,La Salle,30,0,11,3,16,416,147,253,16,4
ILLINOIS,Lawrence,6,0,1,0,5,24,10,14,0,0
ILLINOIS,Livingston,25,0,9,3,13,275,59,211,5,89
ILLINOIS,Logan,17,0,3,0,14,138,61,72,5,1
ILLINOIS,Marion,15,0,3,0,12,282,89,168,25,1
ILLINOIS,Mason,24,0,3,2,19,118,30,79,9,0
ILLINOIS,Massac,5,1,0,0,4,81,23,54,4,0
ILLINOIS,McDonough,4,0,0,0,4,86,17,69,0,0
ILLINOIS,Montgomery,65,0,3,1,61,124,39,83,2,1
ILLINOIS,Morgan,18,0,7,1,10,111,58,52,1,1
ILLINOIS,Moultrie,6,0,2,0,4,70,20,49,1,0
ILLINOIS,Ogle,13,1,0,1,11,189,59,126,4,2
ILLINOIS,Perry,16,0,1,0,15,61,24,35,2,3
ILLINOIS,Pike,2,0,2,0,0,39,9,29,1,0
ILLINOIS,Pulaski,20,0,3,2,15,65,27,37,1,0
ILLINOIS,Putnam,2,0,2,0,0,50,10,36,4,0
ILLINOIS,Saline,15,0,0,0,15,126,29,86,11,1
ILLINOIS,Schuyler,6,0,0,0,6,7,2,5,0,0
ILLINOIS,Scott,0,0,0,0,0,34,9,25,0,1
ILLINOIS,Shelby,7,0,0,0,7,116,35,73,8,1
ILLINOIS,Stephenson,9,0,4,1,4,180,58,119,3,1
ILLINOIS,Union,12,0,0,0,12,94,17,73,4,0
ILLINOIS,Wabash,2,0,0,0,2,40,11,27,2,0
ILLINOIS,Warren,4,0,0,0,4,94,38,55,1,1
ILLINOIS,Wayne,17,0,0,0,17,122,39,81,2,2
ILLINOIS,White,15,2,1,0,12,132,35,87,10,0
ILLINOIS,Whiteside,18,0,1,0,17,251,65,178,8,0
INDIANA,Allen,70,2,8,14,46,1022,203,760,59,1
INDIANA,Bartholomew,51,0,6,3,42,534,120,362,52,0
INDIANA,Boone,1,0,0,0,1,127,47,80,0,1
INDIANA,Brown,2,1,1,0,0,84,38,41,5,1
INDIANA,Delaware,38,0,1,1,36,489,181,286,22,2
INDIANA,Elkhart,46,3,13,19,11,1411,428,895,88,11
INDIANA,Floyd,5,0,1,1,3,627,136,450,41,0
INDIANA,Hancock,14,0,5,2,7,273,113,143,17,1
INDIANA,Harrison,24,0,2,4,18,400,100,267,33,0
INDIANA,Howard,39,0,2,1,36,453,208,239,6,0
INDIANA,Johnson,68,0,1,10,57,735,163,553,19,3
INDIANA,Lake,59,2,5,10,42,1106,278,739,89,0
INDIANA,Monroe,53,1,18,5,29,911,239,592,80,3
INDIANA,Newton,11,0,0,0,11,204,74,121,9,1
INDIANA,Porter,46,2,4,4,36,893,184,659,50,2
INDIANA,Shelby,14,0,1,1,12,296,109,171,16,2
INDIANA,St. Joseph,122,0,13,17,92,1309,368,871,70,6
INDIANA,Sullivan,8,0,1,0,7,316,59,240,17,0
INDIANA,Tippecanoe,38,0,13,2,23,725,203,485,37,5
INDIANA,Vermillion,13,0,1,0,12,65,23,40,2,0
INDIANA,Vigo,33,2,7,5,19,1144,276,816,52,7
INDIANA,Warrick,117,0,8,5,104,692,97,564,31,2
INDIANA,Wells,1,0,0,0,1,168,53,112,3,0
INDIANA,Blackford,1,0,1,0,0,61,26,32,3,0
INDIANA,Cass,7,0,0,2,5,275,74,197,4,0
INDIANA,Clinton,24,0,5,5,14,303,78,201,24,1
INDIANA,Crawford,2,0,0,0,2,112,103,5,4,0
INDIANA,Daviess,5,0,0,0,5,114,44,51,19,0
INDIANA,Franklin,1,0,0,0,1,179,88,84,7,0
INDIANA,Fulton,12,0,1,3,8,121,40,68,13,0
INDIANA,Gibson,14,0,4,0,10,188,42,136,10,3
INDIANA,Grant,15,0,5,1,9,289,100,183,6,0
INDIANA,Greene,2,0,2,0,0,189,37,137,15,0
INDIANA,Henry,6,0,3,2,1,600,227,347,26,0
INDIANA,Huntington,13,0,4,2,7,124,32,84,8,13
INDIANA,Jackson,12,0,3,0,9,502,128,357,17,0
INDIANA,Jay,17,0,0,4,13,112,18,91,3,0
INDIANA,Knox,0,0,0,0,0,0,0,0,0,0
INDIANA,LaGrange,14,1,0,3,10,251,75,164,12,1
INDIANA,Lawrence,65,0,1,1,63,385,154,210,21,6
INDIANA,Martin,6,0,0,0,6,90,22,59,9,5
INDIANA,Miami,3,0,1,1,1,174,56,113,5,2
INDIANA,Montgomery,13,0,2,2,9,387,128,242,17,0
INDIANA,Parke,8,0,2,1,5,37,17,19,1,1
INDIANA,Pike,17,1,0,0,16,280,37,234,9,0
INDIANA,Pulaski,26,0,1,1,24,180,42,123,15,4
INDIANA,Randolph,2,0,0,0,2,222,95,117,10,1
INDIANA,Steuben,8,1,4,2,1,505,134,353,18,3
INDIANA,Tipton,14,0,1,0,13,65,47,14,4,0
INDIANA,Wayne,0,0,0,0,0,117,24,92,1,0
INDIANA,White,11,1,0,2,8,111,14,83,14,2
IOWA,Benton,5,0,1,0,4,169,107,57,5,2
IOWA,Black Hawk,24,0,5,0,19,207,78,117,12,0
IOWA,Bremer,15,2,1,1,11,51,17,34,0,0
IOWA,Dallas,24,0,0,1,23,105,17,75,13,0
IOWA,Dubuque,18,0,3,1,14,223,89,107,27,2
IOWA,Grundy,7,0,0,0,7,64,12,50,2,1
IOWA,Johnson,59,0,3,2,54,231,66,151,14,4
IOWA,Linn,28,1,9,0,18,275,121,129,25,6
IOWA,Mills,20,0,4,4,12,241,98,109,34,4
IOWA,Plymouth,7,2,2,0,3,57,11,42,4,1
IOWA,Polk,75,0,10,7,58,767,238,466,63,5
IOWA,Pottawattamie,41,0,7,1,33,509,141,305,63,9
IOWA,Scott,37,0,1,0,36,191,72,107,12,1
IOWA,Story,14,0,4,1,9,175,83,81,11,1
IOWA,Warren,31,0,7,0,24,207,72,112,23,4
IOWA,Washington,26,0,8,0,18,89,34,49,6,1
IOWA,Woodbury,14,0,0,0,14,137,60,66,11,1
IOWA,Adair,5,0,0,0,5,71,27,39,5,1
IOWA,Adams,15,0,1,0,14,48,11,35,2,0
IOWA,Allamakee,0,0,0,0,0,0,0,0,0,1
IOWA,Appanoose,13,0,2,0,11,133,56,63,14,6
IOWA,Boone,3,0,0,1,2,18,7,9,2,0
IOWA,Butler,0,0,0,0,0,14,8,3,3,0
IOWA,Calhoun,3,0,0,0,3,18,6,11,1,0
IOWA,Cass,9,0,0,0,9,74,25,44,5,0
IOWA,Cedar,16,0,2,0,14,136,5,122,9,1
IOWA,Cerro Gordo,2,0,0,0,2,119,47,64,8,0
IOWA,Cherokee,4,0,0,0,4,47,8,37,2,0
IOWA,Clarke,7,0,0,0,7,45,16,26,3,0
IOWA,Clay,4,0,1,0,3,18,11,6,1,0
IOWA,Clayton,14,0,1,0,13,58,18,37,3,2
IOWA,Clinton,23,0,1,0,22,110,53,56,1,3
IOWA,Crawford,0,0,0,0,0,4,2,2,0,0
IOWA,Davis,6,0,0,0,6,10,5,5,0,0
IOWA,Delaware,9,0,1,0,8,15,10,4,1,1
IOWA,Des Moines,18,0,0,0,18,155,57,87,11,0
IOWA,Emmet,1,0,0,0,1,25,7,16,2,0
IOWA,Fayette,13,0,2,0,11,54,15,29,10,8
IOWA,Floyd,4,0,0,1,3,22,9,12,1,0
IOWA,Hancock,6,0,0,0,6,28,16,12,0,0
IOWA,Hardin,13,0,0,0,13,125,47,75,3,2
IOWA,Henry,30,0,1,0,29,106,27,62,17,0
IOWA,Howard,3,0,1,0,2,57,29,25,3,3
IOWA,Humboldt,1,0,0,0,1,52,22,23,7,0
IOWA,Ida,9,0,2,0,7,90,39,50,1,1
IOWA,Iowa,10,0,0,0,10,75,18,54,3,0
IOWA,Jasper,23,0,2,0,21,186,94,78,14,1
IOWA,Kossuth,3,0,0,0,3,59,35,22,2,0
IOWA,Lee,7,0,0,0,7,133,40,78,15,1
IOWA,Louisa,16,0,0,0,16,91,35,53,3,1
IOWA,Lucas,3,0,2,0,1,84,27,46,11,3
IOWA,Lyon,28,0,3,0,25,80,22,48,10,0
IOWA,Marshall,6,0,1,0,5,78,30,37,11,0
IOWA,Mitchell,0,0,0,0,0,26,7,17,2,0
IOWA,Monona,1,0,1,0,0,26,5,17,4,0
IOWA,Monroe,3,0,1,0,2,57,12,42,3,1
IOWA,Muscatine,29,0,5,2,22,129,66,52,11,1
IOWA,O'Brien,6,0,0,0,6,83,38,42,3,1
IOWA,Osceola,0,0,0,0,0,12,3,7,2,0
IOWA,Page,13,0,0,0,13,53,18,34,1,0
IOWA,Palo Alto,9,0,1,0,8,83,43,35,5,1
IOWA,Pocahontas,12,0,4,0,8,72,23,48,1,0
IOWA,Sac,11,0,3,2,6,52,22,23,7,0
IOWA,Shelby,1,0,0,0,1,4,1,1,2,0
IOWA,Sioux,23,0,2,0,21,83,36,42,5,0
IOWA,Tama,33,0,1,0,32,85,41,36,8,17
IOWA,Taylor,1,0,0,0,1,18,3,15,0,0
IOWA,Union,3,0,0,0,3,35,18,15,2,0
IOWA,Van Buren,15,0,0,0,15,60,22,32,6,1
IOWA,Wapello,10,1,0,0,9,138,59,59,20,2
IOWA,Wayne,1,0,0,0,1,16,6,10,0,0
IOWA,Webster,24,0,0,0,24,168,47,111,10,0
IOWA,Winnebago,0,0,0,0,0,3,2,1,0,0
IOWA,Winneshiek,0,0,0,0,0,18,6,12,0,0
IOWA,Worth,9,0,1,0,8,99,42,48,9,1
IOWA,Wright,0,0,0,0,0,36,9,25,2,0
KANSAS,Butler,48,0,7,1,40,605,183,377,45,4
KANSAS,Doniphan,5,0,1,0,4,31,13,14,4,2
KANSAS,Douglas,25,0,2,2,21,172,64,99,9,9
KANSAS,Harvey,8,0,1,0,7,103,49,50,4,0
KANSAS,Jackson,12,0,0,0,12,129,48,72,9,1
KANSAS,Jefferson,35,0,2,0,33,349,101,213,35,3
KANSAS,Johnson,49,1,6,1,41,282,86,174,22,5
KANSAS,Kingman,7,0,2,1,4,68,29,35,4,1
KANSAS,Leavenworth,64,0,4,1,59,323,137,158,28,22
KANSAS,Linn,19,0,3,0,16,133,50,70,13,5
KANSAS,Miami,23,0,9,0,14,227,91,116,20,12
KANSAS,Osage,23,0,1,0,22,113,36,70,7,2
KANSAS,Pottawatomie,36,0,2,1,33,237,54,168,15,13
KANSAS,Riley County Police Department,174,1,27,22,124,1355,225,1090,40,14
KANSAS,Shawnee,78,3,4,4,67,1006,287,663,56,14
KANSAS,Sumner,22,0,1,1,20,147,58,82,7,1
KANSAS,Wabaunsee,9,0,1,0,8,57,13,33,11,1
KANSAS,Wyandotte,19,0,0,2,17,43,2,39,2,2
KANSAS,Allen,4,0,1,0,3,78,17,57,4,3
KANSAS,Anderson,8,0,0,0,8,82,44,32,6,1
KANSAS,Barber,5,0,0,0,5,46,4,36,6,1
KANSAS,Barton,11,0,1,1,9,151,57,87,7,1
KANSAS,Bourbon,17,0,3,0,14,134,57,68,9,3
KANSAS,Brown,10,1,3,0,6,60,20,36,4,2
KANSAS,Chase,7,0,0,0,7,45,37,7,1,1
KANSAS,Chautauqua,3,0,0,0,3,23,9,13,1,1
KANSAS,Cherokee,23,2,3,1,17,268,124,122,22,13
KANSAS,Cheyenne,3,0,0,0,3,24,4,19,1,0
KANSAS,Clark,3,0,0,0,3,23,7,15,1,0
KANSAS,Clay,7,0,1,0,6,23,5,14,4,1
KANSAS,Cloud,15,0,2,0,13,66,29,33,4,5
KANSAS,Coffey,9,0,0,0,9,58,14,42,2,0
KANSAS,Cowley,37,0,2,0,35,153,49,93,11,2
KANSAS,Crawford,16,0,1,0,15,222,89,116,17,13
KANSAS,Dickinson,11,0,0,0,11,179,100,68,11,1
KANSAS,Edwards,1,0,0,0,1,29,10,19,0,0
KANSAS,Elk,0,0,0,0,0,34,5,25,4,1
KANSAS,Ellis,8,0,1,0,7,89,32,51,6,0
KANSAS,Ellsworth,6,0,0,0,6,38,9,29,0,0
KANSAS,Finney,37,0,8,3,26,200,57,137,6,2
KANSAS,Ford,25,0,0,1,24,124,57,62,5,4
KANSAS,Franklin,29,0,3,1,25,224,87,122,15,5
KANSAS,Geary,16,0,1,0,15,40,9,29,2,1
KANSAS,Graham,2,0,0,0,2,16,4,10,2,0
KANSAS,Grant,2,0,0,0,2,19,5,11,3,0
KANSAS,Gray,5,0,0,0,5,51,25,23,3,0
KANSAS,Greeley,1,0,1,0,0,4,1,3,0,0
KANSAS,Greenwood,10,1,1,0,8,72,31,40,1,0
KANSAS,Harper,3,0,0,0,3,35,4,26,5,2
KANSAS,Haskell,10,0,0,0,10,58,14,39,5,0
KANSAS,Hodgeman,2,0,1,0,1,24,18,6,0,0
KANSAS,Kearny,12,0,2,0,10,61,16,43,2,0
KANSAS,Kiowa,1,0,0,0,1,33,14,15,4,0
KANSAS,Labette,4,0,0,0,4,97,43,43,11,4
KANSAS,Lane,4,1,0,0,3,14,3,7,4,1
KANSAS,Lyon,13,0,0,0,13,88,18,66,4,12
KANSAS,McPherson,6,0,2,0,4,62,26,32,4,1
KANSAS,Marion,2,0,0,0,2,15,5,6,4,0
KANSAS,Marshall,2,0,0,0,2,46,20,20,6,1
KANSAS,Mitchell,7,0,2,0,5,14,2,11,1,0
KANSAS,Montgomery,25,0,1,0,24,170,57,102,11,2
KANSAS,Morris,4,0,0,0,4,81,44,34,3,0
KANSAS,Morton,7,0,1,0,6,29,5,22,2,0
KANSAS,Nemaha,8,0,0,0,8,54,11,38,5,0
KANSAS,Neosho,10,0,2,1,7,91,45,42,4,1
KANSAS,Ness,6,0,1,0,5,27,5,17,5,0
KANSAS,Norton,1,0,0,0,1,11,5,6,0,0
KANSAS,Osborne,0,0,0,0,0,42,11,28,3,0
KANSAS,Pawnee,0,0,0,0,0,34,17,15,2,0
KANSAS,Phillips,8,0,0,0,8,17,5,12,0,0
KANSAS,Pratt,3,0,1,0,2,42,18,20,4,1
KANSAS,Rawlins,2,0,1,0,1,14,3,9,2,0
KANSAS,Republic,4,0,0,0,4,28,5,21,2,0
KANSAS,Rice,2,0,0,0,2,61,24,33,4,0
KANSAS,Rooks,4,1,1,0,2,32,9,19,4,0
KANSAS,Rush,4,0,0,0,4,49,22,25,2,0
KANSAS,Russell,5,0,0,0,5,52,14,34,4,0
KANSAS,Saline,23,1,2,3,17,141,47,83,11,2
KANSAS,Scott,2,0,0,0,2,20,6,12,2,0
KANSAS,Seward,9,0,3,0,6,26,9,14,3,0
KANSAS,Sherman,1,0,1,0,0,9,3,6,0,1
KANSAS,Thomas,6,0,3,0,3,40,10,28,2,0
KANSAS,Trego,1,0,1,0,0,20,6,12,2,0
KANSAS,Washington,2,0,1,0,1,8,3,4,1,0
KANSAS,Wichita,5,0,0,0,5,30,7,23,0,0
KANSAS,Wilson,4,0,0,0,4,92,37,51,4,0
KANSAS,Woodson,4,0,1,0,3,43,18,25,0,1
KENTUCKY,Allen,3,0,1,1,1,110,44,56,10,0
KENTUCKY,Boone,55,1,22,13,19,1399,359,952,88,5
KENTUCKY,Bourbon,0,0,0,0,0,73,30,42,1,0
KENTUCKY,Boyd,11,0,1,2,8,180,53,104,23,0
KENTUCKY,Bracken,1,0,0,0,1,110,45,62,3,0
KENTUCKY,Bullitt,28,0,4,6,18,518,214,272,32,2
KENTUCKY,Butler,6,0,1,1,4,56,25,28,3,1
KENTUCKY,Campbell County Police Department,17,0,6,2,9,268,94,163,11,1
KENTUCKY,Christian,19,2,7,3,7,403,153,233,17,2
KENTUCKY,Clark,7,0,2,4,1,263,125,123,15,0
KENTUCKY,Daviess,16,0,4,2,10,545,143,379,23,4
KENTUCKY,Edmonson,6,0,1,1,4,68,46,19,3,0
KENTUCKY,Gallatin,5,0,0,0,5,77,41,30,6,2
KENTUCKY,Grant,6,0,0,3,3,136,54,72,10,0
KENTUCKY,Greenup,2,0,0,1,1,41,17,22,2,0
KENTUCKY,Hancock,0,0,0,0,0,13,5,7,1,0
KENTUCKY,Hardin,6,0,2,2,2,121,44,72,5,1
KENTUCKY,Henderson,11,0,3,3,5,153,59,88,6,0
KENTUCKY,Henry,0,0,0,0,0,11,6,5,0,0
KENTUCKY,Jessamine,7,1,0,1,5,269,113,148,8,0
KENTUCKY,Kenton,0,0,0,0,0,10,0,9,1,0
KENTUCKY,Kenton County Police Department,13,0,6,4,3,218,89,121,8,1
KENTUCKY,Larue,2,0,0,0,2,43,23,17,3,0
KENTUCKY,McLean,2,0,0,0,2,31,16,14,1,0
KENTUCKY,Meade,6,0,0,1,5,142,81,52,9,0
KENTUCKY,Oldham,1,0,0,0,1,6,2,4,0,0
KENTUCKY,Oldham County Police Department,11,0,2,1,8,424,166,247,11,3
KENTUCKY,Pendleton,7,0,1,0,6,133,49,75,9,0
KENTUCKY,Scott,6,0,1,3,2,266,109,139,18,2
KENTUCKY,Shelby,11,0,1,3,7,455,150,283,22,3
KENTUCKY,Spencer,4,0,0,2,2,64,27,34,3,0
KENTUCKY,Trigg,7,0,2,0,5,81,24,55,2,0
KENTUCKY,Warren,20,0,6,2,12,452,150,272,30,1
KENTUCKY,Woodford,0,0,0,0,0,15,2,12,1,0
KENTUCKY,Adair,9,0,0,2,7,29,14,14,1,0
KENTUCKY,Anderson,3,0,1,1,1,43,18,21,4,0
KENTUCKY,Ballard,8,0,1,0,7,148,41,100,7,3
KENTUCKY,Barren,4,0,1,0,3,79,36,36,7,0
KENTUCKY,Bell,9,0,2,4,3,106,53,43,10,0
KENTUCKY,Boyle,9,0,1,3,5,49,24,23,2,0
KENTUCKY,Breckinridge,6,0,2,0,4,30,16,10,4,0
KENTUCKY,Caldwell,2,0,0,0,2,97,50,40,7,2
KENTUCKY,Calloway,6,0,0,2,4,289,133,140,16,2
KENTUCKY,Carlisle,1,0,0,0,1,38,15,22,1,0
KENTUCKY,Carroll,2,0,0,0,2,74,18,49,7,1
KENTUCKY,Carter,1,0,0,0,1,46,23,19,4,0
KENTUCKY,Casey,2,0,0,1,1,46,25,21,0,0
KENTUCKY,Clay,11,0,0,1,10,68,24,38,6,4
KENTUCKY,Crittenden,1,0,0,0,1,17,7,7,3,0
KENTUCKY,Cumberland,1,0,0,0,1,31,23,6,2,0
KENTUCKY,Elliott,1,0,0,0,1,5,3,2,0,0
KENTUCKY,Estill,1,0,0,1,0,44,18,19,7,0
KENTUCKY,Fleming,1,0,0,0,1,19,10,6,3,2
KENTUCKY,Floyd,1,0,0,0,1,71,20,45,6,0
KENTUCKY,Franklin,18,1,2,4,11,311,95,196,20,1
KENTUCKY,Fulton,1,0,0,0,1,31,11,19,1,0
KENTUCKY,Garrard,1,0,0,0,1,39,16,20,3,0
KENTUCKY,Graves,24,4,4,3,13,275,134,115,26,0
KENTUCKY,Grayson,11,0,5,0,6,162,91,58,13,0
KENTUCKY,Harlan,4,0,1,0,3,65,22,43,0,0
KENTUCKY,Harrison,6,0,0,3,3,186,87,89,10,0
KENTUCKY,Hart,3,0,0,0,3,20,9,7,4,0
